Date,Close,Weight
2021-03-22,102,1
2021-03-23,101,1
2021-03-24,104,1
2021-03-25,105,1
2021-03-26,107,1
2021-03-29,106,1
2021-03-30,105,1
2021-03-31,104,1
2021-04-01,105,1
